StudyName;Sample;Domain;StudyType;Task;Stimulus;MeasureType;M.Mono;SD.Mono;N.Mono;M.Biling;SD.Biling;N.Biling;g;vg
Lee & Chan (2000);1;Inhibition;Peer;Stroop;V;RT;8,04;4,38;35;9,25;4,87;50;-0,26;0,05
Rosselli et al. (2000);1;Fluency;Peer;Category Fluency;V;O;26,4;7,6;19;31,7;7,2;18;-0,70;0,12
Rosselli et al. (2000);1;Fluency;Peer;Letter Fluency;V;O;35,2;13,8;19;34,9;11,2;18;0,02;0,11
Gollan et al. (2002);1;Fluency;Peer;Category Fluency;V;O;;;30;;;30;-0,87;0,07
Gollan et al. (2002);1;Fluency;Peer;Letter Fluency;V;O;;;30;;;30;-0,39;0,07
Rosselli et al. (2002);1;Inhibition;Peer;Stroop;V;RT;97,91;27,44;11;112,85;30,18;71;-0,50;0,11
Rosselli et al. (2002);1;Monitoring;Peer;Stroop;V;RT;45,73;5,39;11;46,89;10,01;71;-0,12;0,11
Boutla (2003);1;WM;Peer;Simple Span FW;V;O;7,05;1,19;20;6,08;1,24;12;0,78;0,14
Bialystok et al. (2004);1;Inhibition;Peer;Simon;NV;RT;535;231,2;10;40;32,2;10;2,87;0,45
Bialystok et al. (2004);1;Monitoring;Peer;Simon;NV;RT;770;132,8;10;497;252,5;10;1,30;0,25
Bialystok et al. (2004);2;Inhibition;Peer;Simon;NV;RT;1713;971,7;10;748;806,6;10;1,03;0,23
Bialystok et al. (2004);2;Monitoring;Peer;Simon;NV;RT;1437;560,6;10;911;374,2;10;1,06;0,23
Bialystok et al. (2004);3;Inhibition;Peer;Simon;NV;RT;123;88,8;32;27,3;8;32;1,73;0,09
Bialystok et al. (2004);3;Monitoring;Peer;Simon;NV;RT;667;76,2;32;382;39,9;32;4,63;0,24
Bialystok et al. (2004);3;WM;Peer;LNS;V;O;28;4,5;32;28,8;4,6;32;-0,17;0,06
Bialystok et al. (2004);3;WM;Peer;LNS;V;O;24;4,8;32;25,1;4,8;32;-0,23;0,06
Bialystok et al. (2004);4;Inhibition;Peer;Simon;NV;RT;583;174,9;15;212;180,6;15;2,03;0,21
Bialystok et al. (2004);4;Monitoring;Peer;Simon;NV;RT;1012;216,2;15;1046;204;15;-0,16;0,13
Bialystok et al. (2004);4;WM;Peer;LNS;V;O;24;2,9;15;22,4;1,9;15;0,63;0,14
Bialystok et al. (2004);4;WM;Peer;LNS;V;O;23;5,1;15;21,6;2,8;15;0,33;0,14
Bialystok et al. (2004);5;Inhibition;Peer;Simon;NV;RT;766;68,4;10;358;29,6;10;7,41;1,89
Bialystok et al. (2004);5;Monitoring;Peer;Simon;NV;RT;532;66;10;335;26,7;10;3,75;0,63
Bialystok et al. (2004);5;WM;Peer;LNS;V;O;28,1;3,4;10;27,8;3,8;10;0,08;0,20
Bialystok et al. (2004);5;WM;Peer;LNS;V;O;28;4;10;25,4;4,2;10;0,61;0,21
Bialystok et al. (2005);1;Inhibition;Peer;Simon;NV;RT;499;94;10;475;80;10;0,26;0,20
Bialystok et al. (2005);1;Monitoring;Peer;Simon;NV;RT;425;76;10;415;64;10;0,14;0,20
Bialystok et al. (2005);2;Inhibition;Peer;Simon;NV;RT;499;94;10;397;62;9;1,21;0,26
Bialystok et al. (2005);2;Monitoring;Peer;Simon;NV;RT;425;76;10;348;46;9;1,12;0,25
Bialystok et al. (2006);1;WM;Peer;LNS;V;O;15,4;5,1;24;16;4,8;24;-0,12;0,08
Bialystok, Craik, & Ryan (2006);1;Inhibition;Peer;Antisaccade;NV;ACC;0,15;0,14;24;0,19;0,15;24;-0,27;0,08
Bialystok, Craik, & Ryan (2006);2;Inhibition;Peer;Antisaccade;NV;ACC;0,19;0,18;24;0,19;0,15;24;0,00;0,08
Bialystok, Craik, & Ryan (2006);3;Inhibition;Peer;Antisaccade;NV;ACC;0,01;0,02;24;0,01;0,03;24;0,00;0,08
Bialystok, Craik, & Ryan (2006);4;Inhibition;Peer;Antisaccade;NV;ACC;0,02;0,02;24;0,03;0,04;24;-0,31;0,08
Craik & Bialystok (2006);1;WM;Peer;LNS;V;O;36,5;8,5;15;34,8;7,6;15;0,21;0,13
Craik & Bialystok (2006);1;WM;Peer;Simple Span FW;V;O;74,1;22,9;15;66,3;23,3;15;0,33;0,14
Craik & Bialystok (2006);2;WM;Peer;LNS;V;O;21,4;10,7;15;33,5;12,7;15;-1,00;0,15
Craik & Bialystok (2006);2;WM;Peer;Simple Span FW;V;O;52,5;23;15;71,8;27,5;15;-0,74;0,14
Ransdell et al. (2006);1;WM;Peer;Complex Span;V;O;37,9;11,3;58;35,6;9,8;48;0,22;0,04
Ransdell et al. (2006);2;WM;Peer;Complex Span;V;O;44,8;5,64;58;35,6;9,8;31;1,06;0,06
DePape (2007);1;Inhibition;Other;Stroop ;V;RT;764,7;166,1;24;661,9;164,8;15;0,61;0,11
DePape (2007);1;Inhibition;Other;Stroop;NV;RT;533,2;88,5;24;470,5;49,7;15;0,81;0,12
DePape (2007);1;Monitoring;Other;Stroop;V;RT;675,1;126;24;621,5;127,2;15;0,42;0,11
DePape (2007);1;Monitoring;Other;Stroop;NV;RT;561,1;79,8;24;494,2;63;15;0,89;0,12
Fernandes et al. (2007);1;WM;Peer;Simple Span;V;O;16,7;1,5;26;16,8;1,5;26;-0,07;0,08
Fernandes et al. (2007);2;WM;Peer;Simple Span;V;O;16,7;0,9;26;15,8;1,2;26;0,84;0,08
Nikolova (2007);1;Inhibition;Other;Stroop;V;RT;861,03;87,28;12;768,29;59,59;12;1,20;0,20
Nikolova (2007);1;Monitoring;Other;Stroop;V;RT;774,81;72,44;12;750,81;66,12;12;0,33;0,17
Nikolova (2007);2;Inhibition;Other;Stroop;V;RT;889,15;129,71;17;759,25;62,24;17;1,25;0,14
Nikolova (2007);2;Monitoring;Other;Stroop;V;RT;795,83;92,76;17;744,96;61,09;17;0,63;0,12
Nikolova (2007);2;WM;Other;Simple Span BW;V;O;7,12;2,15;17;5,71;1,86;17;0,68;0,13
Nikolova (2007);2;WM;Other;Simple Span FW;V;O;9,82;1,74;17;9,65;1,97;17;0,09;0,12
Portocarrero et al. (2007);1;Fluency;Peer;Category Fluency;V;O;46,2;9,1;32;54,8;10,6;34;-0,86;0,07
Portocarrero et al. (2007);1;Fluency;Peer;Letter Fluency;V;O;35;7,5;39;36,9;10,1;39;-0,21;0,05
Badzakova-Trajkov (2008);1;Inhibition;Other;Stroop;V;RT;704,46;183,6;13;815,82;207,15;11;-0,55;0,18
Badzakova-Trajkov (2008);2;Inhibition;Other;Stroop;V;RT;7,48;3,92;13;6,33;2,87;10;0,32;0,18
Badzakova-Trajkov (2008);3;Inhibition;Other;Stroop;V;RT;7,48;3,92;13;7,44;3,49;10;0,01;0,18
Badzakova-Trajkov (2008);4;Inhibition;Other;Stroop;V;RT;18,27;11,97;16;9,07;8,69;12;0,83;0,16
Badzakova-Trajkov (2008);5;Inhibition;Other;Stroop;V;RT;18,27;11,97;16;9,52;8,91;12;0,79;0,16
Bialystok et al. (2008a);1;Attention;Peer;SART;V;ACC;95,9;2,7;24;96,2;3,5;24;-0,09;0,08
Bialystok et al. (2008a);1;Fluency;Peer;Category Fluency;V;O;21,3;3,8;24;23,3;5,4;24;-0,42;0,09
Bialystok et al. (2008a);1;Fluency;Peer;Letter Fluency;V;O;42,4;11,1;24;49,8;7,4;24;-0,77;0,09
Bialystok et al. (2008a);1;Inhibition;Peer;Stroop;V;RT;234;87;24;176;78;24;0,69;0,09
Bialystok et al. (2008a);1;Inhibition;Peer;Stroop;NV;RT;8,2;20,2;24;22,3;35,2;24;-0,48;0,09
Bialystok et al. (2008a);1;WM;Peer;Simple Span BW;NV;O;3,5;0,7;24;2,8;1,2;24;0,70;0,09
Bialystok et al. (2008a);1;WM;Peer;Simple Span FW;NV;O;3,8;1,2;24;3,3;0,9;24;0,46;0,09
Bialystok et al. (2008a);2;Attention;Peer;SART;V;ACC;94,7;5,4;24;96,9;3,2;24;-0,49;0,09
Bialystok et al. (2008a);2;Fluency;Peer;Category Fluency;V;O;15,7;5,4;24;20,1;3,9;24;-0,92;0,09
