StudyID;ESID;Reference;Design;ControlGroup;CognitiveSkill;g;vg
61;6101;Akcaoglu (2013);Pretest-posttest control group;untreated;Reasoning;0,912;0,066
61;6102;Akcaoglu (2013);Pretest-posttest control group;untreated;Reasoning;0,864;0,066
61;6103;Akcaoglu (2013);Pretest-posttest control group;untreated;Reasoning;0,522;0,063
90;9001;Jenkins (2015);Pretest-posttest control group;untreated;Programming;0,287;0,141
90;9002;Jenkins (2015);Pretest-posttest control group;untreated;Literacy;0,435;0,143
969;96901;Missiuna et al. (1987);Pretest-posttest control group;untreated;Reasoning;0,344;0,064
969;96902;Missiuna et al. (1987);Pretest-posttest control group;untreated;Reasoning;0,272;0,065
969;96903;Missiuna et al. (1987);Pretest-posttest control group;untreated;Reasoning;0,518;0,067
969;96904;Missiuna et al. (1987);Pretest-posttest control group;untreated;Reasoning;0,343;0,064
969;96905;Missiuna et al. (1987);Pretest-posttest control group;untreated;Reasoning;-0,269;0,063
969;96906;Missiuna et al. (1987);Pretest-posttest control group;untreated;Reasoning;0,51;0,065
1050;105001;Dillashaw & Bell (1985);Posttest-only control group;untreated;Reasoning;0,556;0,127
1053;105301;Koohang (1984);Pretest-posttest control group;untreated;Reasoning;0,5;0,058
1083;108301;Pea & Kurland (1984);Pretest-posttest control group;treated;Reasoning;0,938;0,251
1083;108302;Pea & Kurland (1984);Pretest-posttest control group;treated;Reasoning;0,463;0,23
1083;108303;Pea & Kurland (1984);Pretest-posttest control group;treated;Reasoning;-0,135;0,224
1083;108304;Pea & Kurland (1984);Pretest-posttest control group;treated;Reasoning;0,135;0,224
1083;108305;Pea & Kurland (1984);Pretest-posttest control group;treated;Reasoning;0,651;0,237
1083;108306;Pea & Kurland (1984);Pretest-posttest control group;treated;Reasoning;-0,137;0,224
1141;114101;Seidman (1981);Pretest-posttest control group;untreated;Literacy;-0,539;0,097
1141;114102;Seidman (1981);Pretest-posttest control group;untreated;Mathematical literacy;-0,027;0,094
1141;114103;Seidman (1981);Posttest-only control group;untreated;Reasoning;-0,062;0,094
1141;114104;Seidman (1981);Posttest-only control group;untreated;Reasoning;-0,099;0,094
1141;114105;Seidman (1981);Posttest-only control group;untreated;Reasoning;-0,008;0,094
1141;114106;Seidman (1981);Posttest-only control group;untreated;Reasoning;-0,084;0,094
1211;121101;Milner (1973);Pretest-posttest control group;untreated;Mathematical literacy;0,595;0,106
1211;121102;Milner (1973);Pretest-posttest control group;untreated;Programming;0,696;0,146
1273;127306;Hayes & Stewart (2016);Pretest-posttest control group;untreated;Literacy;-1,033;0,154
1273;127307;Hayes & Stewart (2016);Pretest-posttest control group;untreated;Literacy;-0,962;0,151
1273;127311;Hayes & Stewart (2016);Pretest-posttest control group;untreated;Literacy;0,098;0,135
1273;127312;Hayes & Stewart (2016);Pretest-posttest control group;untreated;Mathematical literacy;-0,241;0,136
1273;127309;Hayes & Stewart (2016);Pretest-posttest control group;treated;Reasoning;-1,334;0,166
1273;127310;Hayes & Stewart (2016);Pretest-posttest control group;treated;Reasoning;-1,65;0,183
1273;127301;Hayes & Stewart (2016);Pretest-posttest control group;treated;Reasoning;-1,532;0,177
1273;127302;Hayes & Stewart (2016);Pretest-posttest control group;treated;Reasoning;-0,332;0,137
1273;127303;Hayes & Stewart (2016);Pretest-posttest control group;treated;Reasoning;-0,442;0,138
1273;127304;Hayes & Stewart (2016);Pretest-posttest control group;treated;Reasoning;-0,173;0,135
1273;127305;Hayes & Stewart (2016);Pretest-posttest control group;treated;Reasoning;-0,147;0,135
1273;127308;Hayes & Stewart (2016);Pretest-posttest control group;treated;Reasoning;-2,02;0,208
1483;148301;Kim et al. (2013a);Pretest-posttest control group;untreated;Creativity;0,24;0,033
1483;148302;Kim et al. (2013a);Pretest-posttest control group;untreated;Creativity;-0,35;0,034
1483;148303;Kim et al. (2013a);Pretest-posttest control group;untreated;Creativity;0,138;0,033
1483;148304;Kim et al. (2013a);Pretest-posttest control group;untreated;Creativity;1,019;0,038
1483;148305;Kim et al. (2013a);Pretest-posttest control group;untreated;Creativity;0,477;0,14
1483;148306;Kim et al. (2013a);Pretest-posttest control group;untreated;Creativity;0,056;0,136
1483;148307;Kim et al. (2013a);Pretest-posttest control group;untreated;Creativity;0,183;0,136
1483;148308;Kim et al. (2013a);Pretest-posttest control group;untreated;Creativity;1,651;0,181
1494;149401;Kazakoff et al. (2013);Pretest-posttest control group;untreated;Reasoning;0,322;0,212
1494;149402;Kazakoff et al. (2013);Pretest-posttest control group;untreated;Reasoning;0,698;0,172
1516;141601;Kazakoff et al. (2012);Pretest-posttest control group;untreated;Reasoning;0,638;0,076
1933;193301;Kapa (1999);Pretest-posttest control group;treated;Reasoning;0,218;0,087
1933;193302;Kapa (1999);Pretest-posttest control group;treated;Reasoning;-1,41;0,108
1933;193303;Kapa (1999);Pretest-posttest control group;treated;Reasoning;0,595;0,09
1933;193304;Kapa (1999);Pretest-posttest control group;treated;Reasoning;0,514;0,089
1936;193601;Subhi (1999);Pretest-posttest control group;untreated;Mathematical literacy;2,104;0,028
1936;193602;Subhi (1999);Pretest-posttest control group;untreated;Creativity;3,009;0,039
1936;193603;Subhi (1999);Pretest-posttest control group;untreated;Creativity;2,753;0,036
1984;198405;Chartier (1996);Pretest-posttest control group;untreated;Spatial skills;-0,189;0,161
1984;198406;Chartier (1996);Pretest-posttest control group;untreated;Spatial skills;-0,478;0,163
1984;198411;Chartier (1996);Pretest-posttest control group;untreated;Spatial skills;0,02;0,152
1984;198412;Chartier (1996);Pretest-posttest control group;untreated;Spatial skills;0;0,152
1984;198401;Chartier (1996);Pretest-posttest control group;treated;Reasoning;-0,358;0,162
1984;198402;Chartier (1996);Pretest-posttest control group;treated;Reasoning;-0,597;0,164
1984;198403;Chartier (1996);Pretest-posttest control group;treated;Reasoning;-0,04;0,16
1984;198404;Chartier (1996);Pretest-posttest control group;treated;Reasoning;-0,09;0,16
1984;198407;Chartier (1996);Pretest-posttest control group;untreated;Reasoning;-0,199;0,153
1984;198408;Chartier (1996);Pretest-posttest control group;untreated;Reasoning;-0,309;0,153
1984;198409;Chartier (1996);Pretest-posttest control group;untreated;Reasoning;0,08;0,153
1984;198410;Chartier (1996);Pretest-posttest control group;untreated;Reasoning;-0,09;0,153
2056;205601;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;-0,216;0,027
2056;205602;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;-0,226;0,027
2056;205603;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;0,879;0,03
2056;205604;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;-0,257;0,028
2056;205605;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;0,406;0,028
2056;205606;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;1,012;0,031
2056;205607;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;0,08;0,029
2056;205608;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;0,113;0,029
2056;205609;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;0,572;0,03
2056;205610;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;0,395;0,029
2056;205611;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;0,088;0,029
2056;205612;Mevarech & Kramarski (1992);Pretest-posttest control group;untreated;Creativity;0,965;0,032
