StudyID;EffectID;Author;Year;N;dmh;vardmh;dmin;vardmin;MindfulnessIntervention;ActiveControl;TAUcontrol;WaitlistControl;PsychiatricSample;NonpsychiatricSample;MedicalSample;TreatmentGroup;ControlGroup;TreatmentDuration;StudyQuality;MindfulnessMeasure;RoB1;RoB2;RoB3;RoB4;RoB5;RoBt
1;1;Agee;2009;43;0,437916533;0,057678181;0,456098578;0,058105945;1;0;0;0;0;1;0;other;active;5,00;3;MAAS;1;2;0;1;1;2
1;2;Agee;2009;43;0,666209889;0,050913242;0,546715478;0,047893704;0;1;0;0;0;1;0;other;active;5,00;3;MAAS;1;2;0;1;1;2
2;3;Alsubaie;2018;22;0,735941931;0,072910674;0,110490493;0,091464007;1;0;0;0;1;0;0;MBSR;TAU;26,00;6;FFMQ;0;2;0;1;1;2
2;4;Alsubaie;2018;22;-0,063264815;0,056851775;-0,295362704;0,094874506;0;0;1;0;1;0;0;MBSR;TAU;26,00;6;FFMQ;0;2;0;1;1;2
3;5;Andres-Rodriguez;2019;70;0,594655327;0,030627530;0,670354449;0,042230605;1;0;0;0;0;0;1;MBSR;TAU;26,00;5;FFMQ;0;0;0;1;0;1
3;6;Andres-Rodriguez;2019;70;-0,034813709;0,026821944;-0,357711755;0,037999245;0;0;1;0;0;0;1;MBSR;TAU;26,00;5;FFMQ;0;0;0;1;0;1
4;7;Arch;2012;128;0,977861911;0,016805532;0,926193182;0,025068718;1;0;0;0;1;0;0;ACT;active;12,00;8;AAQ;0;0;0;1;1;1
4;8;Arch;2012;128;0,903230040;0,012947484;0,817981821;0,018796438;0;1;0;0;1;0;0;ACT;active;12,00;8;AAQ;0;0;0;1;1;1
5;9;Asuero;2014;68;0,597399749;0,020860929;0,613535902;0,027632864;1;0;0;0;0;1;0;other;waitlist;28,00;1;FFMQ;1;1;0;1;1;1
5;10;Asuero;2014;68;-0,061665731;0,030057161;0,072268396;0,040104454;0;0;0;1;0;1;0;other;waitlist;28,00;1;FFMQ;1;1;0;1;1;1
6;11;Atkinson;2014;33;0,471627677;0,038422076;0,730997871;0,057599043;1;0;0;0;0;1;0;other;active;3,00;6;FFMQ;2;0;0;1;1;2
6;12;Atkinson;2014;33;-0,230222270;0,035958992;-0,019216561;0,045462938;0;1;0;0;0;1;0;other;active;3,00;6;FFMQ;2;0;0;1;1;2
7;13;Avdagic;2014;51;1,169744394;0,052147759;1,515394129;0,113063668;1;0;0;0;1;0;0;ACT;active;12,00;8;AAQ;1;0;0;1;1;1
7;14;Avdagic;2014;51;0,832096181;0,040357334;0,763235222;0,067961263;0;1;0;0;1;0;0;ACT;active;12,00;8;AAQ;1;0;0;1;1;1
8;15;Barrett;2012;102;0,194447890;0,012037949;0,073718028;0,019661121;1;0;0;0;0;1;0;MBSR;active;20,00;6;MAAS;0;0;0;1;1;1
8;16;Barrett;2012;102;0,143187415;0,012995291;-0,013261502;0,021278467;0;1;0;0;0;1;0;MBSR;active;20,00;6;MAAS;0;0;0;1;1;1
9;17;Batink;2013;130;0,837423254;0,013211501;0,878334412;0,021652120;1;0;0;0;1;0;0;MBCT;TAU;20,00;4;KIMS;0;0;0;1;0;1
9;18;Batink;2013;130;0,287038863;0,009901676;0,235453979;0,015571504;0;0;1;0;1;0;0;MBCT;TAU;20,00;4;KIMS;0;0;0;1;0;1
10;19;Bedard;2014;105;0,422284702;0,019462740;0,289894688;0,020645011;1;0;0;0;1;0;0;MBCT;waitlist;15,00;3;other;1;0;0;1;0;1
10;20;Bedard;2014;105;0,205910145;0,017925121;0,123430439;0,019905540;0;0;0;1;1;0;0;MBCT;waitlist;15,00;3;other;1;0;0;1;0;1
11;21;Benn;2012;70;0,551796567;0,023790894;1,987767469;0,099186992;1;0;0;0;0;1;0;other;waitlist;36,00;3;FFMQ;1;2;2;1;1;2
11;22;Benn;2012;70;0,143528657;0,021170728;0,600000000;0,040689655;0;0;0;1;0;1;0;other;waitlist;36,00;3;FFMQ;1;2;2;1;1;2
12;23;Bieling;2012;56;0,376182295;0,032079403;0,684071706;0,036153406;1;0;0;0;1;0;0;MBCT;TAU;22,00;2;other;1;2;2;1;1;2
12;24;Bieling;2012;56;-0,289847388;0,026576234;-0,160818286;0,025429791;0;0;1;0;1;0;0;MBCT;TAU;22,00;2;other;1;2;2;1;1;2
13;25;Bluth;2016a;34;0,266762359;0,036179559;0,605119095;0,073942785;1;0;0;0;0;1;0;other;waitlist;9,00;2;other;1;2;0;1;1;2
13;26;Bluth;2016a;34;0,025488277;0,031062887;0,152948758;0,056205370;0;0;0;1;0;1;0;other;waitlist;9,00;2;other;1;2;0;1;1;2
14;27;Bluth;2016b;27;0,250443629;0,050368958;0,065291415;0,071580820;1;0;0;0;0;1;0;other;active;9,17;4;other;1;2;0;1;1;2
14;28;Bluth;2016b;27;0,038224226;0,057381725;-0,507502221;0,086829173;0;1;0;0;0;1;0;other;active;9,17;4;other;1;2;0;1;1;2
