StudyID;SampleID;ESID;CaseID_Count;2_Author;3_Year;interval;timepoints;10_Size;11_Mage;16_CNT;17_Eth;18_Female;Negative/Positive+LS;30_Covid;31_WBm;33_Relt1;34_Relt;avg_rel;WBmi;WBsdi;WBmj;WBsdj;WBcorrij;WBtitj;region;income_level;agem1ic1;agem1ic2;agem1ic3;timelagc;agem2i;corrmean;corrx;es_d;es_dyear;v_d;v_dyear
536;15360;1;2;Bae;2019;1-2;3;2110;10,98;Korea;Not specified;0,48;0;no;Other;0,8;0,84;0,82;10,3;1,62;10,07;1,73;;1;Asia;High income;-2,74;7,5076;-20,570824;0,01;11,98;0,524095238;0,524095238;-0,141975309;-0,141975309;0,000455871;0,000455871
536;15360;2;2;Bae;2019;2-3;3;2110;10,98;Korea;Not specified;0,48;0;no;Other;0,8;0,84;0,82;10,07;1,73;9,7;1,71;;1;Asia;High income;-2,74;7,5076;-20,570824;0,01;11,98;0,524095238;0,524095238;-0,213872832;-0,213872832;0,000461934;0,000461934
1510;2115100;3;1;Casali et al.;2023;1-2;2;445;14,25;Italy;Not specified;0,36;0;yes;Satisfaction with life scale ( Diener et al., 1985);0,85;0,84;0,84;24,02;6,59;22,37;6,7;0,6;0,67;Europe;High income;0,53;0,2809;0,148877;-0,32;14,92;0,524095238;0,6;-0,250379363;-0,373700541;0,001868191;0,004161708
1572;2115720;4;3;Cha & Yang;2020;1-2;4;2215;10;Korea;Not specified;0,47;0;no;other;0,84;0,81;0,82;9,46;1,9;9,09;1,78;0,46;1;Asia;High income;-3,72;13,8384;-51,478848;0,01;11;0,524095238;0,46;-0,194736842;-0,194736842;0,000496145;0,000496145
1572;2115720;5;3;Cha & Yang;2020;2-3;4;2215;10;Korea;Not specified;0,47;0;no;other;0,84;0,81;0,82;9,09;1,78;9,19;1,83;0,46;1;Asia;High income;-3,72;13,8384;-51,478848;0,01;11;0,524095238;0,46;0,056179775;0,056179775;0,000488297;0,000488297
1572;2115720;6;3;Cha & Yang;2020;3-4;4;2215;10;Korea;Not specified;0,47;0;no;other;0,84;0,81;0,82;9,19;1,83;8,91;1,79;0,47;1;Asia;High income;-3,72;13,8384;-51,478848;0,01;11;0,524095238;0,47;-0,153005464;-0,153005464;0,00048384;0,00048384
1704;2117040;7;1;Chen et al.;2021;1-2;2;1295;12,86;China;Not specified;0,46;0;no;"Positive affect (BABS; Bradburn, 1969)";0,78;0,79;0,78;3,09;0,5;3,21;0,46;0;1;Asia;Upper middle income;-0,86;0,7396;-0,636056;0,01;13,86;0,524095238;0;0,24;0,24;0,001566641;0,001566641
1704;2117041;8;1;Chen et al.;2021;1-2;2;1295;12,86;China;Not specified;0,46;1;no;"Negative affect (BABS;Bradburn, 1969)";0,69;0,76;0,72;2,25;0,55;2,17;0,55;0,02;1;Asia;Upper middle income;-0,86;0,7396;-0,636056;0,01;13,86;0,524095238;0,02;-0,145454545;-0,145454545;0,001521682;0,001521682
1704;2117042;9;1;Chen et al.;2021;1-2;2;1295;12,86;China;Not specified;0,46;0;no;"Students' life satisfaction scale (SLSS; Huebner, 1991)";0,65;0,71;0,68;3;0,66;3,19;0,65;0,45;1;Asia;Upper middle income;-0,86;0,7396;-0,636056;0,01;13,86;0,524095238;0,45;0,287878788;0,287878788;0,000881419;0,000881419
1045;2210450;10;3;Boer et al.;2022;1-2;4;1419;12,51;Netherlands;Not specified;0,46;0;no;"Students' life satisfaction scale (SLSS; Huebner, 1991)";0,8;0,84;0,82;4,93;0,76;4,69;0,87;;1;Europe;High income;-1,21;1,4641;-1,771561;0,01;13,51;0,524095238;0,524095238;-0,315789474;-0,315789474;0,000705899;0,000705899
1045;2210450;11;3;Boer et al.;2022;2-3;4;1419;12,51;Netherlands;Not specified;0,46;0;no;"Students' life satisfaction scale (SLSS; Huebner, 1991)";0,8;0,84;0,82;4,69;0,87;4,54;0,88;;1;Europe;High income;-1,21;1,4641;-1,771561;0,01;13,51;0,524095238;0,524095238;-0,172413793;-0,172413793;0,000681235;0,000681235
1045;2210450;12;3;Boer et al.;2022;3-4;4;1419;12,51;Netherlands;Not specified;0,46;0;no;"Students' life satisfaction scale (SLSS; Huebner, 1991)";0,8;0,84;0,82;4,54;0,88;4,48;0,88;;1;Europe;High income;-1,21;1,4641;-1,771561;0,01;13,51;0,524095238;0,524095238;-0,068181818;-0,068181818;0,000672399;0,000672399
1102;2211020;13;4;Borghuis et al.;2020;1-2;5;1046;13,1;Netherlands;Not specified;0,54;1;no;Other;0,95;0,95;0,95;6,04;3,04;6,62;3,53;;1;Europe;High income;-0,62;0,3844;-0,238328;0,01;14,1;0,524095238;0,524095238;0,190789474;0,190789474;0,000927352;0,000927352
1102;2211020;14;4;Borghuis et al.;2020;2-3;5;1046;13,1;Netherlands;Not specified;0,54;1;no;Other;0,95;0,95;0,95;6,62;3,53;6,76;3,53;;1;Europe;High income;-0,62;0,3844;-0,238328;0,01;14,1;0,524095238;0,524095238;0,039660057;0,039660057;0,000910704;0,000910704
1102;2211020;15;4;Borghuis et al.;2020;3-4;5;1046;13,1;Netherlands;Not specified;0,54;1;no;Other;0,95;0,95;0,95;6,76;3,53;6,79;3,81;;1;Europe;High income;-0,62;0,3844;-0,238328;0,01;14,1;0,524095238;0,524095238;0,008498584;0,008498584;0,000909986;0,000909986
1102;2211020;16;4;Borghuis et al.;2020;4-5;5;1046;13,1;Netherlands;Not specified;0,54;1;no;Other;0,95;0,95;0,95;6,79;3,81;6,68;3,71;;1;Europe;High income;-0,62;0,3844;-0,238328;0,01;14,1;0,524095238;0,524095238;-0,028871391;-0,028871391;0,00091035;0,00091035
1369;2213690;17;7;Burris et al.;2017;1-2;8;1906;10,5;U.S.;White/European;0,5;1;no;Other;0,9;0,85;0,88;2,11;0,76;1,82;0,74;0,41;0,5;North America;High income;-3,22;10,3684;-33,386248;-0,49;11;0,524095238;0,41;-0,381578947;-0,763157895;0,000657293;0,002629174
1369;2213690;18;7;Burris et al.;2017;2-3;8;1906;10,5;U.S.;White/European;0,5;1;no;Other;0,9;0,85;0,88;1,82;0,74;1,75;0,7;0,49;0,5;North America;High income;-3,22;10,3684;-33,386248;-0,49;11;0,524095238;0,49;-0,094594595;-0,189189189;0,0005375;0,002149998
1369;2213690;19;7;Burris et al.;2017;3-4;8;1906;10,5;U.S.;White/European;0,5;1;no;Other;0,9;0,85;0,88;1,75;0,7;1,69;0,73;0,47;0,5;North America;High income;-3,22;10,3684;-33,386248;-0,49;11;0,524095238;0,47;-0,085714286;-0,171428571;0,000558066;0,002232263
1369;2213690;20;7;Burris et al.;2017;4-5;8;1906;10,5;U.S.;White/European;0,5;1;no;Other;0,9;0,85;0,88;1,69;0,73;1,7;0,7;0,46;0,5;North America;High income;-3,22;10,3684;-33,386248;-0,49;11;0,524095238;0,46;0,01369863;0,02739726;0,000566681;0,002266724
1369;2213690;21;7;Burris et al.;2017;5-6;8;1906;10,5;U.S.;White/European;0,5;1;no;Other;0,9;0,85;0,88;1,7;0,7;1,72;0,68;0,57;0,5;North America;High income;-3,22;10,3684;-33,386248;-0,49;11;0,524095238;0,57;0,028571429;0,057142857;0,000451421;0,001805683
