article,case,n_countries,countries,n_rows
536,15360,1,Korea,2
1045,2210450,1,Netherlands,3
1102,2211020,1,Netherlands,4
1369,2213690,1,U.s.,7
1411,2214110,1,Italy,1
1510,2115100,1,Italy,1
1572,2115720,1,Korea,3
1704,2117040,1,China,1
1704,2117041,1,China,1
1704,2117042,1,China,1
2257,322570,1,England,1
2269,322690,1,Israel,1
2269,322691,1,Israel,1
2489,324890,1,Canada,1
2623,326230,1,Canada,1
2777,327770,1,Japan,1
2844,328440,1,Spain,1
2844,328441,1,Spain,1
2844,328442,1,Spain,1
2844,328443,1,Spain,1
2845,328450,1,Spain,1
2845,328451,1,Spain,1
2845,328452,1,Spain,1
2845,328453,1,Spain,1
3095,430950,1,Russia,1
3189,431890,1,Belgium,1
3259,432590,1,U.s.,3
3259,432591,1,U.s.,3
3550,435500,1,Spain,1
3554,435540,1,Spain,1
3559,435590,1,Spain,1
3587,435870,1,Canada,1
3619,436190,1,Japan,3
3700,437000,1,U.s.,2
3700,437001,1,U.s.,2
3701,437010,1,U.s.,3
3701,437011,1,U.s.,3
3702,437020,1,U.s.,2
3766,437660,1,China,2
4028,540280,1,Japan,3
4028,540281,1,Japan,3
4029,540290,1,Japan,3
4029,540291,1,Japan,3
4452,544520,1,U.s.,1
4747,547470,1,Taiwan,1
4759,547590,1,China,1
4759,547591,1,China,1
4898,548980,1,Switzerland & Norway,2
4898,548981,1,Switzerland & Norway,2
4898,548982,1,Switzerland & Norway,2
4898,548983,1,Switzerland & Norway,2
4898,548984,1,Switzerland & Norway,2
4898,548985,1,Switzerland & Norway,2
4976,549760,1,Switzerland,1
4976,549761,1,Switzerland,1
5138,6151380,1,South Korea,4
5147,6151470,1,South Korea,2
5152,6151520,1,South Korea,2
5157,6151570,1,South Korea,2
5166,6151660,1,South Korea,2
5240,6152400,1,Scotland,2
5240,6152401,1,Scotland,2
5274,6152740,1,Germany,2
5281,6152810,1,Australia,2
5329,6153290,1,Croatia,1
5329,6153291,1,Croatia,1
5329,6153292,1,Croatia,1
5329,6153293,1,Croatia,1
5438,6154380,1,China,1
5438,6154381,1,China,1
5499,6154990,1,China,1
5500,6155000,1,South Korea,1
5629,6256290,1,China,1
5629,6256291,1,China,1
5662,6256620,1,Greek,2
5662,6256621,1,Greek,2
5673,6256730,1,Romania,2
5673,6256731,1,Romania,2
5681,6256810,1,U.s.,1
5733,6257330,1,South Korea,2
5907,6259070,1,China,2
5917,6259170,1,China,2
5924,6259240,1,China,4
5938,6259380,1,China,1
5941,6259410,1,Netherlands,3
5988,6259880,1,Brazil,2
5988,6259881,1,Brazil,2
5988,6259882,1,Brazil,2
5998,6259980,1,Taiwan,2
6033,760330,1,Italy,3
6033,760331,1,Italy,3
6086,70860,1,China,2
6218,762180,1,Netherlands,1
6219,762191,1,Netherlands,1
6219,7621910,1,Netherlands,1
6272,762720,1,U.s.,1
6313,763130,1,Netherlands,4
6313,763131,1,Netherlands,4
6345,763450,1,Australia,1
6346,763460,1,Australia,3
6452,764520,1,Swiss,2
6484,764840,1,Portugal,2
