article,n_countries,countries,n_cases
9603,4,England; Germany; Netherlands; Sweden,4
11522,2,China; U.s.,8
11586,2,U.s.; U.s:,8
536,1,Korea,1
1045,1,Netherlands,1
1102,1,Netherlands,1
1369,1,U.s.,1
1411,1,Italy,1
1510,1,Italy,1
1572,1,Korea,1
1704,1,China,3
2257,1,England,1
2269,1,Israel,2
2489,1,Canada,1
2623,1,Canada,1
2777,1,Japan,1
2844,1,Spain,4
2845,1,Spain,4
3095,1,Russia,1
3189,1,Belgium,1
3259,1,U.s.,2
3550,1,Spain,1
3554,1,Spain,1
3559,1,Spain,1
3587,1,Canada,1
3619,1,Japan,1
3700,1,U.s.,2
3701,1,U.s.,2
3702,1,U.s.,1
3766,1,China,1
4028,1,Japan,2
4029,1,Japan,2
4452,1,U.s.,1
4747,1,Taiwan,1
4759,1,China,2
4898,1,Switzerland & Norway,6
4976,1,Switzerland,2
5138,1,South Korea,1
5147,1,South Korea,1
5152,1,South Korea,1
5157,1,South Korea,1
5166,1,South Korea,1
5240,1,Scotland,2
5274,1,Germany,1
5281,1,Australia,1
5329,1,Croatia,4
5438,1,China,2
5499,1,China,1
5500,1,South Korea,1
5629,1,China,2
5662,1,Greek,2
5673,1,Romania,2
5681,1,U.s.,1
5733,1,South Korea,1
5907,1,China,1
5917,1,China,1
5924,1,China,1
5938,1,China,1
5941,1,Netherlands,1
5988,1,Brazil,3
5998,1,Taiwan,1
6033,1,Italy,2
6086,1,China,1
6218,1,Netherlands,1
6219,1,Netherlands,2
6272,1,U.s.,1
6313,1,Netherlands,2
6345,1,Australia,1
6346,1,Australia,1
6452,1,Swiss,1
6484,1,Portugal,1
6485,1,Portugal,1
6559,1,U.s.,1
6578,1,Croatia,1
6774,1,Australia,1
6908,1,Norway,1
6971,1,New Zealand,1
7412,1,Germany,1
7544,1,New Zealand,2
7663,1,Spain,4
7804,1,Greek,1
7836,1,South Korea,1
7866,1,Spain,1
8145,1,"Hong Kong, China",1
8202,1,Italy,2
8834,1,U.s.,1
8875,1,Finland,2
8876,1,Finland,2
8880,1,Slovakia,2
8903,1,Spain,3
8904,1,Spain,3
9112,1,U.s.,1
9235,1,China,3
9243,1,China,1
9248,1,China,1
9285,1,U.s.,1
9333,1,Israel,3
9693,1,Germany,1
9724,1,Netherlands,1
10118,1,Germany,2
10300,1,U.s.,2
10440,1,Netherlands,1
10792,1,China,1
10860,1,Austria,1
10994,1,U.s.,2
11046,1,U.s.,1
11191,1,Germany,1
11206,1,China,2
11234,1,China,1
11523,1,Uk,2
11524,1,U.s.,2
11526,1,U.s.,2
11527,1,Germany,2
11529,1,Switzerland,1
11531,1,Taiwan,1
11532,1,China,4
11533,1,Taiwan,1
11534,1,Taiwan,1
11536,1,Australia,1
11537,1,U.s.,1
11539,1,Finnland,2
11541,1,U.s.,2
11543,1,Switzerland,1
11544,1,U.s.,2
11545,1,U.s.,1
11547,1,U.s.,2
11548,1,Japan,2
11551,1,China,4
11552,1,China,3
11553,1,New Zealand,2
11554,1,Korea,1
11560,1,U.s.,3
11562,1,China,1
11564,1,Portugal,1
11565,1,Australia,1
11566,1,Australia,2
11567,1,Australia,4
11568,1,U.s.,1
11573,1,Australia,1
11574,1,U.s.,2
11577,1,U.s.,1
11578,1,China,6
11579,1,U.s.,1
11580,1,China,1
11582,1,China,1
11583,1,U.s.,1
11584,1,Netherlands,2
11587,1,Australia,9
11588,1,Maxico,1
11591,1,China,2
11593,1,China,1
11594,1,China,1
